Date,AAPL,GE,GOOG,IBM,MSFT
31-01-2011,42.17752075,14.43719387,299.0590515,120.9076004,22.28084183
01-02-2011,42.88726807,14.91031075,304.3791199,122.0719223,22.48975754
02-02-2011,42.7990303,14.84579754,304.8573303,121.877861,22.44958115
03-02-2011,42.68964005,14.87446308,303.9357605,122.0494919,22.21656609
04-02-2011,43.06999588,14.7382679,304.3492126,122.4002914,22.31298256
07-02-2011,43.73871994,14.96048832,305.9980469,123.0123138,22.65848923
08-02-2011,44.15140533,15.25439072,308.0354004,124.4210052,22.72276497
09-02-2011,44.5193367,15.27589989,307.0989075,123.371933,22.47368813
10-02-2011,44.06937027,15.24722672,307.0690308,122.9523621,22.09604645
11-02-2011,44.35649872,15.29023552,311.0839844,122.7725143,21.89517021
14-02-2011,44.64611053,15.41209507,312.9021606,122.3004761,21.8791008
15-02-2011,44.73562622,15.38342094,310.9096375,122.0156784,21.79019737
16-02-2011,45.13711166,15.36908436,310.9444885,122.435318,21.83869171
17-02-2011,44.53673172,15.42644024,311.4625549,123.0647812,21.99225998
18-02-2011,43.57464981,15.36908436,313.8635559,123.5143127,21.87101746
22-02-2011,42.08927155,14.92464447,303.9656677,121.3488541,21.49114418
23-02-2011,42.58771896,14.60206318,304.5185852,120.0225677,21.49114418
24-02-2011,42.62002563,14.85880852,303.2732544,120.4646683,21.63663101
25-02-2011,43.27633667,15.03209114,303.8809814,121.5961075,21.45881653
28-02-2011,43.90405655,15.10429573,305.554718,121.2964401,21.48306656
01-03-2011,43.41928482,14.62055206,299.2583008,119.8652344,21.14360237
02-03-2011,43.7685585,14.67109299,299.2732544,120.0075989,21.07893753
03-03-2011,44.69335175,14.98155022,303.6418762,122.4952316,21.17592621
04-03-2011,44.74805832,14.70719051,299.1885681,121.2589035,20.97387314
07-03-2011,44.17128754,14.71441174,294.7253113,119.8352509,20.78796768
08-03-2011,44.22101593,14.89491558,295.0490723,121.5961075,20.94154549
09-03-2011,43.81206512,14.89491558,294.7800903,124.2786102,20.92538261
10-03-2011,43.0911293,14.51224995,289.0664978,121.401268,20.53742409
11-03-2011,43.75240707,14.6999712,287.2781982,121.7085342,20.75564384
14-03-2011,43.94755554,14.38228989,283.9307556,120.9292603,20.763731
15-03-2011,42.93698502,14.15847015,283.7165527,119.1534195,20.52125168
16-03-2011,41.02028275,13.68194389,277.5098267,114.6426163,20.03630638
17-03-2011,41.59579086,13.87689018,279.6318665,115.5267715,20.02822304
18-03-2011,41.10231781,13.89854717,279.4824219,116.8080978,20.04439354
21-03-2011,42.17503357,14.23789215,287.1736145,118.1493225,20.47275925
22-03-2011,42.41120529,14.07182884,287.5820618,118.3891373,20.44850922
23-03-2011,42.16136551,14.10070992,289.993042,119.5355225,20.64249611
24-03-2011,42.87982559,14.28120899,292.3492126,119.9176712,20.86071587
25-03-2011,43.69647598,14.25955009,288.7875671,121.5212173,20.70715141
28-03-2011,43.55972672,14.25955009,286.6057434,120.9142609,20.53742409
29-03-2011,43.62438202,14.33896828,289.7788391,122.0456924,20.6020813
30-03-2011,43.33475876,14.51946831,289.8336182,122.5852127,20.69906807
31-03-2011,43.31984329,14.47615433,292.2844543,122.1880112,20.52125168
01-04-2011,42.82886505,14.68553162,294.7950439,123.0871964,20.59399796
04-04-2011,42.40995789,14.82271194,292.7427368,123.072258,20.65057373
05-04-2011,42.12406921,14.67831135,283.4824524,122.8774109,20.83647537
06-04-2011,42.01842117,14.83714962,286.0179443,122.914917,21.13551521
07-04-2011,42.02338409,14.69274998,288.9170532,123.1696167,21.17592621
08-04-2011,41.64800644,14.57723141,288.0004883,122.922348,21.07085609
11-04-2011,41.11847687,14.57001114,287.6069641,122.8474274,20.99811554
12-04-2011,41.31736755,14.4472723,284.2395935,122.3229599,20.72331429
